Year,Area,Chinook.Salmon,Sockeye.Salmon,Coho.Salmon,Pink.Salmon,Chum.Salmon,Rainbow.Trout,Dolly.Varden,Lake.Trout,Arctic.Grayling,Northern.Pike,Other,Total,Footnotes,Reference,Data Source,Page
1977,KenaiMainstem,7585,23196,9537,163,0,4438,7423,252,187,NA,179,52960,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1978,KenaiMainstem,7130,33619,10823,26579,0,9272,17140,524,90,NA,1843,107020,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1979,KenaiMainstem,8843,16887,15276,127,0,14644,34687,409,127,NA,1131,92131,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1980,KenaiMainstem,4942,25468,26838,18580,0,9807,26794,112,17,NA,809,113367,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1981,KenaiMainstem,11318,19721,22324,86,0,18685,34862,723,65,NA,810,108594,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1982,KenaiMainstem,11496,50103,39415,25572,0,12673,16484,628,188,0,576,157135,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1983,KenaiMainstem,17519,71267,22678,1825,0,13658,30106,650,189,0,534,158426,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1984,KenaiMainstem,14220,15702,59644,28562,0,15687,31407,535,51,NA,870,166678,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1985,KenaiMainstem,16540,57337,44635,1306,186,14981,26287,954,104,69,1889,164288,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1986,KenaiMainstem,18028,72398,60110,19924,563,2425,5775,972,120,0,924,181239,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1987,KenaiMainstem,26657,240819,33210,941,144,2185,7630,315,156,12,175,312244,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1988,KenaiMainstem,34904,152751,48785,15795,849,2133,10977,893,692,0,863,268642,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1989,KenaiMainstem,18085,277906,55275,1421,520,1927,10083,322,151,18,345,366053,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1990,KenaiMainstem,8704,120788,60325,27385,312,3535,11982,256,51,10,567,233915,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1991,KenaiMainstem,9848,161678,76163,2416,8,3329,14517,497,0,0,886,269342,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1992,KenaiMainstem,9797,242491,52310,10029,0,1977,14462,448,0,0,440,331954,1981-1992 totals revised to include fish originally excluded due to a size range of,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1993,KenaiMainstem,27117,137179,50538,1003,0,2574,12724,335,0,26,380,231876,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1994,KenaiMainstem,26008,93616,86711,8701,0,1576,8486,401,0,0,274,225773,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1995,KenaiMainstem,22826,125428,46183,991,0,2150,9523,178,0,29,300,207608,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1996,KenaiMainstem,14735,186291,42293,15406,464,1560,7484,1199,123,92,250,269897,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1997,KenaiMainstem,19184,177133,16164,1371,154,1910,6957,130,131,7,167,223308,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1998,KenaiMainstem,8685,164536,26967,8926,79,2015,6079,117,25,0,610,218039,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1999,KenaiMainstem,21724,200574,31637,1895,333,3784,7568,293,64,0,64,267936,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2000,KenaiMainstem,17040,230983,48519,19081,350,3459,7427,115,93,6,751,327824,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2001,KenaiMainstem,18879,200762,49782,2069,498,2422,6528,156,76,0,1141,282313,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2002,KenaiMainstem,13506,225917,59650,22995,959,6019,5781,173,146,12,806,335964,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2003,KenaiMainstem,19782,286089,46657,2847,94,2278,6113,243,42,58,274,364477,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2004,KenaiMainstem,20757,294793,65952,20638,123,3311,5845,80,277,58,136,411970,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2005,KenaiMainstem,22024,294287,50411,5112,52,2517,4316,0,62,12,759,379552,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2006,KenaiMainstem,20504,173425,37639,12448,52,2499,3218,41,10,0,158,249994,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2007,KenaiMainstem,14934,308850,38017,3308,30,2666,3276,0,12,10,144,371247,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2008,KenaiMainstem,14638,230030,51624,15108,227,3214,3766,153,31,25,359,319175,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2009,KenaiMainstem,11968,252319,49960,4038,89,2454,2718,22,13,0,149,323730,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2010,KenaiMainstem,8538,304635,52912,12959,71,2403,2996,129,87,0,246,384976,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2011,KenaiMainstem,8689,395840,44132,3586,77,1727,1789,0,0,0,355,456195,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
2012,KenaiMainstem,794,455454,36407,17637,357,2540,2144,7,0,11,1695,517046,,Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,94
1977,NonKenaiMainstem,0,51693,3918,1854,36,16996,10783,3426,1400,NA,928,91034,"No breakdown of other lakes/streams available from 1977-1982. Those years may contain some non-NKPMA data, especially the smelt harvests.¾",Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,96
1978,NonKenaiMainstem,251,66023,6389,3591,351,14933,12583,2594,2197,NA,505,109417,"No breakdown of other lakes/streams available from 1977-1982. Those years may contain some non-NKPMA data, especially the smelt harvests.¾",Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,96
1979,NonKenaiMainstem,283,41118,5884,1136,18,18099,19633,3208,1391,NA,490,91260,"No breakdown of other lakes/streams available from 1977-1982. Those years may contain some non-NKPMA data, especially the smelt harvests.¾",Begich et al. 2013,http://www.adfg.alaska.gov/FedAidPDFs/FMR13-51.pdf,96
