Year,Cook Inlet to Soldotna Bridge,Soldotna Bridge to Moose River,Moose River to Skilak Lake Outlet,Skilak Inlet to Kenai Lake,Kenai River Reach Not Specified,Kenai River Total,Source,Page,Link
1977,ND,ND,ND,ND,ND,"122,138",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1978,ND,ND,ND,ND,ND,"164,264",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1979,ND,ND,ND,ND,ND,"178,485",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1980,ND,ND,ND,ND,ND,"171,803",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1981,"91,763","35,877","33,701","17,375",ND,"178,716",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1982,"119,164","49,372","39,170","24,242",ND,"231,948",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1983,"109,067","52,266","41,442","26,453",ND,"229,228",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1984,"150,824","42,644","40,976","35,978",ND,"270,422",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1985,"163,690","66,100","55,904","36,536",815,"323,045",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1986,"181,035","63,876","51,171","38,969",ND,"335,051",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1987,"141,203","66,807","41,128","40,027",ND,"289,165",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1988,"203,728","79,727","55,334","35,470",371,"374,630",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1989,"198,697","93,508","53,135","31,562",990,"377,892",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1990,"169,818","82,331","43,401","47,112",49,"342,711",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1991,"151,592","82,552","45,067","44,157",294,"323,662",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1992,"150,249","81,378","49,774","51,172",ND,"332,573",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
1993,"162,171","70,353","38,583","53,013",235,"324,355",Begich et al 2013,93,https://www.adfg.alaska.gov/static/regulations/regprocess/fisheriesboard/pdfs/2013-2014/uci/FMR13-51.pdf
