Species,Year,Drift,Drift%,ESSN,ESSN%,WSSN,WSSN%,NSN,NSN%,Total,Reference,Link,Page
Chinook,1966,392,4.6,7329,85.8,401,4.7,422,4.9,8544,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1967,489,6.2,6686,85.1,500,6.4,184,2.3,7859,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1968,182,4,3304,72.8,579,12.8,471,10.4,4536,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1969,362,2.9,5834,47.1,3286,26.5,2904,23.4,12386,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1970,356,4.3,5368,64.4,1152,13.8,1460,17.5,8336,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1971,237,1.2,7055,35.7,2875,14.5,9598,48.6,19765,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1972,375,2.3,8599,53.5,2199,13.7,4913,30.5,16086,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1973,244,4.7,4411,84.9,369,7.1,170,3.3,5194,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1974,422,6.4,5571,84.5,434,6.6,169,2.6,6596,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1975,250,5.2,3675,76.8,733,15.3,129,2.7,4787,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1976,690,6.4,8249,75.9,1469,13.5,457,4.2,10865,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
Chinook,1977,3411,23.1,9730,65.8,1084,7.3,565,3.8,14790,Shields and Dupuis 2016,http://www.adfg.alaska.gov/FedAidPDFs/FMR16-14.pdf,154
